time (ms),qx,qy,qz,qw,qx2,qy2,qz2,qw2,mx1,my1,mz1,mx2,my2,mz2,gx1,gy1,gz1,gx2,gy2,gz2,ax1,ay1,az1,ax2,ay2,az2,lx1,ly1,lz1,lx2,ly2,lz2,grx1,gry1,grz1,grx2,gry2,grz2
14769,-0.86474609375,-0.427001953125,-0.099365234375,0.244873046875,-0.429931640625,-0.4052734375,-0.64166259765625,0.496826171875,-3.0625,5.1875,51.875,-48.75,-7.6875,2.5,-0.0044444444444444444,-0.0022222222222222222,0.0,0.14222222222222222,-0.005555555555555556,0.015555555555555555,3.45,-3.18,-8.15,9.25,0.93,2.98,-0.26,0.14,0.26,-0.04,-0.05,0.04,3.73,-3.32,-8.43,9.29,0.97,2.95
14808,-0.86480712890625,-0.427001953125,-0.0992431640625,0.24481201171875,-0.4302978515625,-0.40509033203125,-0.64166259765625,0.49676513671875,-3.0625,5.1875,53.0,-48.0625,-8.75,4.5,0.0,-0.005555555555555556,0.0022222222222222222,-0.0044444444444444444,-0.01,0.011111111111111112,4.73,-3.14,-8.17,9.24,0.91,2.97,-0.28,0.16,0.3,-0.03,-0.04,1.31,3.73,-3.31,-8.43,9.3,0.97,2.95
14851,-0.8648681640625,-0.427001953125,-0.09918212890625,0.24468994140625,-0.4306640625,-0.40472412109375,-0.6419677734375,0.48846435546875,-3.5,5.5625,53.5,-38.875,-8.75,4.0625,-0.01,-0.005555555555555556,-0.0022222222222222222,-0.0033333333333333335,-0.005555555555555556,0.0033333333333333335,3.43,-3.17,-8.16,9.25,0.93,2.98,-0.29,0.15,0.28,-0.04,-0.03,0.03,5.0,-3.31,-8.44,9.3,0.97,2.95
14892,-0.86492919921875,-0.427001953125,-0.09912109375,0.2445068359375,-0.43072509765625,-0.4046630859375,-0.64202880859375,0.4962158203125,-2.25,5.5625,52.1875,-48.75,-8.5,4.0625,-0.0044444444444444444,-0.0022222222222222222,0.0011111111111111111,-0.005555555555555556,-0.016666666666666666,0.0077777777777777776,3.42,-3.17,-8.18,9.25,0.92,2.93,-0.3,0.13,0.31,-0.03,-0.06,0.01,5.0,-3.31,-8.44,9.3,0.96,2.95
14933,-0.86492919921875,-0.427001953125,-0.09912109375,0.2445068359375,-0.4307861328125,-0.40472412109375,-0.6419677734375,0.4962158203125,-2.6875,3.375,52.6875,-48.375,-8.5,3.25,-0.01,0.0,-0.0022222222222222222,-0.006666666666666667,-0.005555555555555556,0.0077777777777777776,3.46,-3.14,-8.15,9.27,0.91,2.94,-0.3,0.15,0.27,-0.01,-0.06,-0.01,5.0,-3.31,-8.44,9.3,0.96,2.95
14973,-0.86492919921875,-0.427001953125,-0.09912109375,0.2445068359375,-0.43084716796875,-0.40460205078125,-0.64202880859375,0.48828125,-2.6875,3.375,52.6875,-48.375,-8.5,3.25,0.14555555555555555,0.0077777777777777776,-0.0011111111111111111,-0.0011111111111111111,-0.0077777777777777776,0.008888888888888889,3.45,-3.16,-8.18,9.28,0.91,2.97,-0.28,0.12,0.27,-0.04,-0.03,0.01,5.0,-3.31,-8.44,9.3,0.96,2.95
15013,-0.86492919921875,-0.427001953125,-0.09912109375,0.2445068359375,-0.430908203125,-0.40460205078125,-0.64202880859375,0.48834228515625,-1.5625,4.5,51.875,-49.875,-7.25,3.6875,0.14444444444444443,0.0022222222222222222,0.0,-0.0011111111111111111,0.0,0.0044444444444444444,4.71,-3.17,-8.15,9.26,0.9,2.98,-0.29,0.14,0.28,-0.02,-0.08,0.03,5.0,-3.31,-8.44,9.3,0.96,2.95
15052,-0.86492919921875,-0.427001953125,-0.09912109375,0.2445068359375,-0.430908203125,-0.40460205078125,-0.64202880859375,0.48834228515625,-3.0625,4.0625,53.0625,-48.375,-8.0625,4.0625,-0.005555555555555556,0.0033333333333333335,-0.0011111111111111111,-0.0033333333333333335,-0.0011111111111111111,-0.005555555555555556,4.69,-3.19,-8.18,9.28,0.9,2.92,-0.3,0.15,0.25,-0.08,-0.03,0.05,5.0,-3.31,-8.44,9.3,0.96,2.95
15092,-0.86492919921875,-0.427001953125,-0.09912109375,0.2445068359375,-0.43096923828125,-0.404541015625,-0.64202880859375,0.49603271484375,-2.6875,4.875,52.6875,-49.5625,-8.5,2.875,-0.015555555555555555,0.011111111111111112,-0.0033333333333333335,0.14222222222222222,-0.0022222222222222222,-0.0077777777777777776,3.42,-3.14,-8.18,9.28,0.92,2.95,-0.29,0.15,0.22,-0.01,-0.05,0.0,5.01,-3.31,-8.44,9.3,0.96,2.95
15132,-0.86492919921875,-0.42694091796875,-0.09930419921875,0.24444580078125,-0.43096923828125,-0.40460205078125,-0.64202880859375,0.49603271484375,-2.25,3.6875,53.875,-49.875,-8.75,4.5,-0.0044444444444444444,0.01,0.0,-0.011111111111111112,-0.0044444444444444444,-0.015555555555555555,3.46,-3.17,-8.17,9.23,0.92,2.99,-0.28,0.14,0.25,-0.05,-0.06,0.01,5.01,-3.31,-8.44,9.3,0.97,2.95
